symbol,period,date_predicted,predicted_price,percent_change,absolute_difference,last_price
BOP,1 day,2025-July-26,12.33,-9.32,-1.27,13.6
BOP,1 week,2025-August-01,12.51,-7.98,-1.09,13.6
BOP,1 month,2025-August-24,12.73,-6.37,-0.87,13.6
BOP,6 months,2026-January-21,17.79,30.78,4.19,13.6
FFL,1 day,2025-July-26,15.6,-4.21,-0.69,16.29
FFL,1 week,2025-August-01,17.54,7.65,1.25,16.29
FFL,1 month,2025-August-24,16.42,0.81,0.13,16.29
FFL,6 months,2026-January-21,22.79,39.9,6.5,16.29
ASL,1 day,2025-July-26,9.7,-21.4,-2.64,12.34
ASL,1 week,2025-August-01,11.57,-6.25,-0.77,12.34
ASL,1 month,2025-August-24,10.5,-14.88,-1.84,12.34
ASL,6 months,2026-January-21,15.53,25.82,3.19,12.34
HIFA,1 day,2025-July-26,3.9,-44.63,-3.15,7.05
HIFA,1 week,2025-August-01,4.23,-40.06,-2.82,7.05
HIFA,1 month,2025-August-24,4.07,-42.28,-2.98,7.05
HIFA,6 months,2026-January-21,4.88,-30.73,-2.17,7.05
BML,1 day,2025-July-26,4.06,-23.43,-1.24,5.3
BML,1 week,2025-August-01,4.54,-14.4,-0.76,5.3
BML,1 month,2025-August-24,4.37,-17.54,-0.93,5.3
BML,6 months,2026-January-21,5.98,12.81,0.68,5.3
WTL,1 day,2025-July-26,1.0,-32.16,-0.47,1.47
WTL,1 week,2025-August-01,1.46,-0.96,-0.01,1.47
WTL,1 month,2025-August-24,1.15,-21.92,-0.32,1.47
WTL,6 months,2026-January-21,1.57,7.06,0.1,1.47
KEL,1 day,2025-July-26,5.37,3.93,0.2,5.17
KEL,1 week,2025-August-01,4.89,-5.32,-0.28,5.17
KEL,1 month,2025-August-24,5.1,-1.38,-0.07,5.17
KEL,6 months,2026-January-21,5.54,7.22,0.37,5.17
HASCOL,1 day,2025-July-26,10.78,-3.61,-0.4,11.18
HASCOL,1 week,2025-August-01,11.04,-1.22,-0.14,11.18
HASCOL,1 month,2025-August-24,12.13,8.48,0.95,11.18
HASCOL,6 months,2026-January-21,16.53,47.86,5.35,11.18
POWER,1 day,2025-July-26,14.06,-3.66,-0.53,14.59
POWER,1 week,2025-August-01,14.84,1.69,0.25,14.59
POWER,1 month,2025-August-24,14.8,1.45,0.21,14.59
POWER,6 months,2026-January-21,20.37,39.62,5.78,14.59
CNERGY,1 day,2025-July-26,8.38,19.23,1.35,7.03
CNERGY,1 week,2025-August-01,7.94,12.97,0.91,7.03
CNERGY,1 month,2025-August-24,8.74,24.36,1.71,7.03
CNERGY,6 months,2026-January-21,10.88,54.8,3.85,7.03
CLCPS,1 day,2025-July-26,3.61,-23.79,-1.13,4.74
CLCPS,1 week,2025-August-01,3.23,-31.79,-1.51,4.74
CLCPS,1 month,2025-August-24,3.64,-23.24,-1.1,4.74
CLCPS,6 months,2026-January-21,5.11,7.91,0.37,4.74
AHCL,1 day,2025-July-26,13.96,9.52,1.21,12.75
AHCL,1 week,2025-August-01,23.05,80.79,10.3,12.75
AHCL,1 month,2025-August-24,16.02,25.66,3.27,12.75
AHCL,6 months,2026-January-21,10.82,-15.13,-1.93,12.75
FDPL,1 day,2025-July-26,4.18,-33.57,-2.12,6.3
FDPL,1 week,2025-August-01,3.96,-37.21,-2.34,6.3
FDPL,1 month,2025-August-24,4.05,-35.79,-2.25,6.3
FDPL,6 months,2026-January-21,4.6,-26.99,-1.7,6.3
ALAC,1 day,2025-July-26,6.7,-40.73,-4.6,11.3
ALAC,1 week,2025-August-01,8.16,-27.76,-3.14,11.3
ALAC,1 month,2025-August-24,7.05,-37.57,-4.25,11.3
ALAC,6 months,2026-January-21,8.83,-21.83,-2.47,11.3
KOSM,1 day,2025-July-26,5.87,-5.34,-0.33,6.2
KOSM,1 week,2025-August-01,5.65,-8.84,-0.55,6.2
KOSM,1 month,2025-August-24,7.95,28.29,1.75,6.2
KOSM,6 months,2026-January-21,5.55,-10.49,-0.65,6.2
PIBTL,1 day,2025-July-26,9.1,-7.22,-0.71,9.81
PIBTL,1 week,2025-August-01,9.46,-3.54,-0.35,9.81
PIBTL,1 month,2025-August-24,8.91,-9.13,-0.9,9.81
PIBTL,6 months,2026-January-21,12.07,23.07,2.26,9.81
HUBC,1 day,2025-July-26,139.22,-8.8,-13.44,152.66
HUBC,1 week,2025-August-01,137.05,-10.22,-15.61,152.66
HUBC,1 month,2025-August-24,135.95,-10.95,-16.71,152.66
HUBC,6 months,2026-January-21,141.75,-7.15,-10.91,152.66
SSGC,1 day,2025-July-26,49.03,12.19,5.33,43.7
SSGC,1 week,2025-August-01,47.98,9.8,4.28,43.7
SSGC,1 month,2025-August-24,50.07,14.57,6.37,43.7
SSGC,6 months,2026-January-21,69.36,58.71,25.66,43.7
CHBL,1 day,2025-July-26,8.81,-39.66,-5.79,14.6
CHBL,1 week,2025-August-01,8.72,-40.26,-5.88,14.6
CHBL,1 month,2025-August-24,9.13,-37.48,-5.47,14.6
CHBL,6 months,2026-January-21,12.77,-12.51,-1.83,14.6
MDTL,1 day,2025-July-26,2.37,-26.48,-0.85,3.22
MDTL,1 week,2025-August-01,2.48,-22.93,-0.74,3.22
MDTL,1 month,2025-August-24,2.46,-23.62,-0.76,3.22
MDTL,6 months,2026-January-21,2.7,-16.2,-0.52,3.22
BNL,1 day,2025-July-26,52.4,-58.2,-72.96,125.36
BNL,1 week,2025-August-01,61.87,-50.65,-63.49,125.36
BNL,1 month,2025-August-24,54.93,-56.18,-70.43,125.36
BNL,6 months,2026-January-21,85.87,-31.5,-39.49,125.36
AKBL,1 day,2025-July-26,53.98,-23.68,-16.75,70.73
AKBL,1 week,2025-August-01,55.94,-20.9,-14.79,70.73
AKBL,1 month,2025-August-24,54.37,-23.13,-16.36,70.73
AKBL,6 months,2026-January-21,73.84,4.4,3.11,70.73
ENGROH,1 day,2025-July-26,191.97,-11.75,-25.56,217.53
ENGROH,1 week,2025-August-01,197.01,-9.44,-20.52,217.53
ENGROH,1 month,2025-August-24,188.51,-13.34,-29.02,217.53
ENGROH,6 months,2026-January-21,228.62,5.1,11.09,217.53
PASL,1 day,2025-July-26,2.28,-20.11,-0.58,2.86
PASL,1 week,2025-August-01,2.23,-22.19,-0.63,2.86
PASL,1 month,2025-August-24,2.4,-16.01,-0.46,2.86
PASL,6 months,2026-January-21,2.54,-11.08,-0.32,2.86
TPLP,1 day,2025-July-26,8.43,-11.79,-1.13,9.56
TPLP,1 week,2025-August-01,9.7,1.45,0.14,9.56
TPLP,1 month,2025-August-24,8.72,-8.74,-0.84,9.56
TPLP,6 months,2026-January-21,13.71,43.42,4.15,9.56
PTC,1 day,2025-July-26,25.88,8.4,2.01,23.87
PTC,1 week,2025-August-01,25.46,6.67,1.59,23.87
PTC,1 month,2025-August-24,26.14,9.51,2.27,23.87
PTC,6 months,2026-January-21,33.56,40.6,9.69,23.87
