symbol,href,name,sector_id,listed_in,sector_name,,ACI,ALLSHR,BKTI,JSGBKTI,JSMFI,KMI30,KMIALLSHR,KSE100,KSE100PR,KSE30,MII30,MZNPI,NBPPGI,NITPGI,OGTI,PSXDIV20,UPP9,data-link
BOP,https://dps.psx.com.pk/company/BOP,The Bank of Punjab,0807,"ALLSHR,KSE100,KSE100PR,PSXDIV20",COMMERCIAL BANKS,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,https://dps.psx.com.pk/timeseries/eod/BOP
FFL,https://dps.psx.com.pk/company/FFL,Fauji Foods Limited,0810,"ACI,ALLSHR,KMI30,KMIALLSHR",FOOD & PERSONAL CARE PRODUCTS,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,https://dps.psx.com.pk/timeseries/eod/FFL
ASL,https://dps.psx.com.pk/company/ASL,Aisha Steel Mills Limited,0808,"ALLSHR,KMIALLSHR",ENGINEERING,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,https://dps.psx.com.pk/timeseries/eod/ASL
HIFA,https://dps.psx.com.pk/company/HIFA,HBL Investment Fund,0806,ALLSHR,CLOSE - END MUTUAL FUND,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://dps.psx.com.pk/timeseries/eod/HIFA
BML,https://dps.psx.com.pk/company/BML,Bank Makramah Limited,0807,ALLSHR,COMMERCIAL BANKS,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://dps.psx.com.pk/timeseries/eod/BML
WTL,https://dps.psx.com.pk/company/WTL,Worldcall Telecom Limited,0828,ALLSHR,TECHNOLOGY & COMMUNICATION,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://dps.psx.com.pk/timeseries/eod/WTL
KEL,https://dps.psx.com.pk/company/KEL,K-Electric Limited,0824,"ALLSHR,KMIALLSHR,KSE100,KSE100PR",POWER GENERATION & DISTRIBUTION,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,https://dps.psx.com.pk/timeseries/eod/KEL
HASCOL,https://dps.psx.com.pk/company/HASCOL,Hascol Petroleum Limited,0821,ALLSHR,OIL & GAS MARKETING COMPANIES,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://dps.psx.com.pk/timeseries/eod/HASCOL
POWER,https://dps.psx.com.pk/company/POWER,Power Cement Limited,0804,"ALLSHR,KMIALLSHR",CEMENT,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,https://dps.psx.com.pk/timeseries/eod/POWER
CNERGY,https://dps.psx.com.pk/company/CNERGY,Cnergyico PK  Limited,0825,"ALLSHR,KMIALLSHR,KSE100,KSE100PR",REFINERY,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,https://dps.psx.com.pk/timeseries/eod/CNERGY
