Sector,Company,Output,MSE,R2
BANKS,786,Output_1,0.004987,-0.253972
BANKS,786,Output_2,0.004558,-0.179862
BANKS,786,Output_3,0.005256,-0.544234
BANKS,786,Output_4,0.013128,-4.988128
BANKS,AHL,Output_1,0.020268,0.612312
BANKS,AHL,Output_2,0.022349,0.573895
BANKS,AHL,Output_3,0.027327,0.478224
BANKS,AHL,Output_4,0.035294,0.270346
BANKS,AKDSL,Output_1,0.026843,0.537318
BANKS,AKDSL,Output_2,0.03022,0.475439
BANKS,AKDSL,Output_3,0.043449,0.236341
BANKS,AKDSL,Output_4,0.086621,-0.589803
BANKS,AMBL,Output_1,0.021806,0.168083
BANKS,AMBL,Output_2,0.025588,0.109743
BANKS,AMBL,Output_3,0.04083,0.008007
BANKS,AMBL,Output_4,0.098693,-0.14112
BANKS,CASH,Output_1,0.037529,-3.849806
BANKS,CASH,Output_2,0.040335,-6.805114
BANKS,CASH,Output_3,0.037118,-5.112582
BANKS,CASH,Output_4,0.147743,-10.232709
BANKS,CYAN,Output_1,0.018166,0.706155
BANKS,CYAN,Output_2,0.019246,0.689205
BANKS,CYAN,Output_3,0.023862,0.615668
BANKS,CYAN,Output_4,0.038782,0.183349
BANKS,DEL,Output_1,0.015225,0.654235
BANKS,DEL,Output_2,0.017581,0.600426
BANKS,DEL,Output_3,0.026348,0.398599
BANKS,DEL,Output_4,0.056132,-0.296198
BANKS,DLL,Output_1,0.012011,0.220675
BANKS,DLL,Output_2,0.012327,0.20431
BANKS,DLL,Output_3,0.014076,0.101319
BANKS,DLL,Output_4,0.028995,0.185604
BANKS,ENGROH,Output_1,0.003233,0.698119
BANKS,ENGROH,Output_2,0.003558,0.671459
BANKS,ENGROH,Output_3,0.004752,0.597577
BANKS,ENGROH,Output_4,0.024458,0.303044
BANKS,ESBL,Output_1,0.007643,0.862592
BANKS,ESBL,Output_2,0.008087,0.853406
BANKS,ESBL,Output_3,0.009657,0.817514
BANKS,ESBL,Output_4,0.025873,0.34314
BANKS,FCIBL,Output_1,0.008325,-0.171676
BANKS,FCIBL,Output_2,0.00875,-0.220172
BANKS,FCIBL,Output_3,0.008516,-0.180904
BANKS,FCIBL,Output_4,0.017678,-2.503148
BANKS,FCSC,Output_1,0.013116,0.673409
BANKS,FCSC,Output_2,0.015523,0.614077
BANKS,FCSC,Output_3,0.023531,0.42196
BANKS,FCSC,Output_4,0.041202,0.012843
BANKS,FDPL,Output_1,0.014179,0.461192
BANKS,FDPL,Output_2,0.015818,0.39905
BANKS,FDPL,Output_3,0.018456,0.297892
BANKS,FDPL,Output_4,0.033846,-0.273219
BANKS,FNEL,Output_1,0.005135,0.865279
BANKS,FNEL,Output_2,0.005448,0.854518
BANKS,FNEL,Output_3,0.006382,0.813161
BANKS,FNEL,Output_4,0.007739,0.302887
BANKS,ICIBL,Output_1,0.007755,0.793883
BANKS,ICIBL,Output_2,0.009067,0.758129
BANKS,ICIBL,Output_3,0.013101,0.644642
BANKS,ICIBL,Output_4,0.00996,0.574723
BANKS,IMS,Output_1,0.00684,0.380287
BANKS,IMS,Output_2,0.008296,0.339392
BANKS,IMS,Output_3,0.018398,0.22021
BANKS,IMS,Output_4,0.059475,0.168591
BANKS,JSCL,Output_1,0.007,0.844842
BANKS,JSCL,Output_2,0.007849,0.824416
BANKS,JSCL,Output_3,0.010352,0.753812
BANKS,JSCL,Output_4,0.02485,-0.124292
BANKS,JSCLPSA,Output_1,0.013572,-0.095647
BANKS,JSCLPSA,Output_2,0.013933,-0.118666
BANKS,JSCLPSA,Output_3,0.015125,-0.23023
BANKS,JSCLPSA,Output_4,0.027666,0.071198
BANKS,JSGCL,Output_1,0.019656,0.559591
BANKS,JSGCL,Output_2,0.022281,0.495921
BANKS,JSGCL,Output_3,0.033186,0.226318
BANKS,JSGCL,Output_4,0.027071,0.294333
BANKS,JSIL,Output_1,0.026809,0.265442
BANKS,JSIL,Output_2,0.029672,0.192394
BANKS,JSIL,Output_3,0.038938,-0.109187
BANKS,JSIL,Output_4,0.056324,0.071865
BANKS,LSECL,Output_1,0.038605,-245.557061
BANKS,LSECL,Output_2,0.049439,-692.301147
BANKS,LSECL,Output_3,0.015573,-26.727931
BANKS,LSECL,Output_4,0.023889,-6.787652
BANKS,LSEVL,Output_1,0.012615,0.124374
BANKS,LSEVL,Output_2,0.014079,0.074757
BANKS,LSEVL,Output_3,0.021266,0.096175
BANKS,LSEVL,Output_4,0.052376,0.172331
BANKS,MCBIM,Output_1,0.003446,0.490616
BANKS,MCBIM,Output_2,0.003625,0.4719
BANKS,MCBIM,Output_3,0.004706,0.371995
BANKS,MCBIM,Output_4,0.064835,-0.109612
BANKS,NEXT,Output_1,0.012894,0.762766
BANKS,NEXT,Output_2,0.014043,0.742053
BANKS,NEXT,Output_3,0.019927,0.635642
BANKS,NEXT,Output_4,0.041641,0.245464
BANKS,OLPL,Output_1,0.006246,0.729518
BANKS,OLPL,Output_2,0.006594,0.716176
BANKS,OLPL,Output_3,0.009558,0.616744
BANKS,OLPL,Output_4,0.047946,0.215568
BANKS,PASL,Output_1,0.011876,0.64061
BANKS,PASL,Output_2,0.012887,0.611459
BANKS,PASL,Output_3,0.019212,0.434977
BANKS,PASL,Output_4,0.03778,0.006251
BANKS,PIAHCLA,Output_1,0.005923,0.865952
BANKS,PIAHCLA,Output_2,0.006573,0.852999
BANKS,PIAHCLA,Output_3,0.00721,0.843762
BANKS,PIAHCLA,Output_4,0.013919,0.753716
BANKS,PIAHCLB,Output_1,0.002504,-41.426334
BANKS,PIAHCLB,Output_2,0.002526,-74.080759
BANKS,PIAHCLB,Output_3,0.002649,-105.886286
BANKS,PIAHCLB,Output_4,0.079957,-0.236573
BANKS,PSX,Output_1,0.00497,0.746589
BANKS,PSX,Output_2,0.005463,0.722138
BANKS,PSX,Output_3,0.005056,0.748116
BANKS,PSX,Output_4,0.023807,0.412741
SUGAR & ALLIED INDUSTRIES,AABS,Output_1,0.00542,0.818886
SUGAR & ALLIED INDUSTRIES,AABS,Output_2,0.005575,0.816614
SUGAR & ALLIED INDUSTRIES,AABS,Output_3,0.006388,0.8036
SUGAR & ALLIED INDUSTRIES,AABS,Output_4,0.028849,0.53473
SUGAR & ALLIED INDUSTRIES,ADAMS,Output_1,0.00798,0.580912
SUGAR & ALLIED INDUSTRIES,ADAMS,Output_2,0.008743,0.540504
SUGAR & ALLIED INDUSTRIES,ADAMS,Output_3,0.011882,0.39886
SUGAR & ALLIED INDUSTRIES,ADAMS,Output_4,0.023539,0.152614
SUGAR & ALLIED INDUSTRIES,AGSML,Output_1,0.011109,0.75729
SUGAR & ALLIED INDUSTRIES,AGSML,Output_2,0.011957,0.736063
SUGAR & ALLIED INDUSTRIES,AGSML,Output_3,0.016301,0.624214
SUGAR & ALLIED INDUSTRIES,AGSML,Output_4,0.031257,0.247149
SUGAR & ALLIED INDUSTRIES,ALNRS,Output_1,0.028401,0.50398
SUGAR & ALLIED INDUSTRIES,ALNRS,Output_2,0.031014,0.460661
SUGAR & ALLIED INDUSTRIES,ALNRS,Output_3,0.041655,0.283764
SUGAR & ALLIED INDUSTRIES,ALNRS,Output_4,0.057837,-0.155616
SUGAR & ALLIED INDUSTRIES,CHAS,Output_1,0.016565,0.544048
SUGAR & ALLIED INDUSTRIES,CHAS,Output_2,0.017049,0.52002
SUGAR & ALLIED INDUSTRIES,CHAS,Output_3,0.019151,0.405489
SUGAR & ALLIED INDUSTRIES,CHAS,Output_4,0.030677,-0.613739
SUGAR & ALLIED INDUSTRIES,DWSM,Output_1,0.014082,0.501723
SUGAR & ALLIED INDUSTRIES,DWSM,Output_2,0.015912,0.453806
SUGAR & ALLIED INDUSTRIES,DWSM,Output_3,0.020503,0.369875
SUGAR & ALLIED INDUSTRIES,DWSM,Output_4,0.044775,0.239545
SUGAR & ALLIED INDUSTRIES,FRSM,Output_1,0.017585,0.657299
SUGAR & ALLIED INDUSTRIES,FRSM,Output_2,0.019853,0.613582
SUGAR & ALLIED INDUSTRIES,FRSM,Output_3,0.030231,0.415683
SUGAR & ALLIED INDUSTRIES,FRSM,Output_4,0.052927,-0.149024
SUGAR & ALLIED INDUSTRIES,HABSM,Output_1,0.007446,0.851278
